Term Code,Term Name,Term Type,Source Ontology,Description,Business Meaning,Technical Meaning,Schema.org Equivalent,Status,Property Count,Relationships,Parent Entity,Data Type,Required,Constraints,Example,Source Entity,Target Entity,Cardinality
entity-AIVisibilityAssessment,AIVisibilityAssessment,Entity,AI Visibility Assessment,Comprehensive evaluation of an organization's AI visibility and market positioning,Business concept representing AIVisibilityAssessment within the AI Visibility Assessment domain,JSON-LD entity of type AIVisibilityAssessment with 13 defined properties,schema:Thing,active,13,0,,,,,,,,
property-AIVisibilityAssessment-assessmentId,assessmentId,Property,AI Visibility Assessment,Unique identifier for the assessment,Attribute capturing unique identifier for the assessment,Field 'assessmentId' of type Text(required),,active,,,AIVisibilityAssessment,Text,Yes,,AIVA-2025-001,,,
property-AIVisibilityAssessment-subject,subject,Property,AI Visibility Assessment,The organization being assessed,Attribute capturing the organization being assessed,Field 'subject' of type Organization(required),,active,,,AIVisibilityAssessment,Organization,Yes,,,,,
property-AIVisibilityAssessment-assessmentDate,assessmentDate,Property,AI Visibility Assessment,Date when assessment was conducted,Attribute capturing date when assessment was conducted,Field 'assessmentDate' of type Date(required),,active,,,AIVisibilityAssessment,Date,Yes,,,,,
property-AIVisibilityAssessment-assessor,assessor,Property,AI Visibility Assessment,Person or team conducting the assessment,Attribute capturing person or team conducting the assessment,Field 'assessor' of type Person(required),,active,,,AIVisibilityAssessment,Person,Yes,,,,,
property-AIVisibilityAssessment-overallScore,overallScore,Property,AI Visibility Assessment,Composite AI visibility score (0-100),Attribute capturing composite ai visibility score (0-100),Field 'overallScore' of type Number(required),,active,,,AIVisibilityAssessment,Number,Yes,"minimum: 0, maximum: 100",,,,
property-AIVisibilityAssessment-tier,tier,Property,AI Visibility Assessment,Classification tier based on overall score,Attribute capturing classification tier based on overall score,Field 'tier' of type Text(required),,active,,,AIVisibilityAssessment,Text,Yes,"enum: ['Emerging Visibility', 'Building Foundation', 'Scaling Visibility', 'Market Leader', 'Industry Thought Leader']",,,,
property-AIVisibilityAssessment-dimensionalScores,dimensionalScores,Property,AI Visibility Assessment,List of 5 DimensionalAssessment entities,Attribute capturing list of 5 dimensionalassessment entities,Field 'dimensionalScores' of type ItemList(required),,active,,,AIVisibilityAssessment,ItemList,Yes,,,,,
property-AIVisibilityAssessment-competitivePosition,competitivePosition,Property,AI Visibility Assessment,How the organization compares to competitors,Attribute capturing how the organization compares to competitors,Field 'competitivePosition' of type CompetitivePosition(required),,active,,,AIVisibilityAssessment,CompetitivePosition,Yes,,,,,
property-AIVisibilityAssessment-keyFindings,keyFindings,Property,AI Visibility Assessment,List of critical insights from assessment,Attribute capturing list of critical insights from assessment,Field 'keyFindings' of type ItemList(required),,active,,,AIVisibilityAssessment,ItemList,Yes,,,,,
property-AIVisibilityAssessment-opportunityScore,opportunityScore,Property,AI Visibility Assessment,Potential for improvement (0-1 scale),Attribute capturing potential for improvement (0-1 scale),Field 'opportunityScore' of type Number(optional),,active,,,AIVisibilityAssessment,Number,No,"minimum: 0, maximum: 1",,,,
property-AIVisibilityAssessment-confidence,confidence,Property,AI Visibility Assessment,Confidence in assessment accuracy (0-100%),Attribute capturing confidence in assessment accuracy (0-100%),Field 'confidence' of type Number(optional),,active,,,AIVisibilityAssessment,Number,No,"minimum: 0, maximum: 100",,,,
property-AIVisibilityAssessment-methodology,methodology,Property,AI Visibility Assessment,Assessment methodology used,Attribute capturing assessment methodology used,Field 'methodology' of type Text(required),,active,,,AIVisibilityAssessment,Text,Yes,"enum: ['Discovery Call', 'Market Research', 'Technical Assessment', 'Hybrid']",,,,
property-AIVisibilityAssessment-validUntil,validUntil,Property,AI Visibility Assessment,Date when assessment should be refreshed,Attribute capturing date when assessment should be refreshed,Field 'validUntil' of type Date(optional),,active,,,AIVisibilityAssessment,Date,No,,,,,
entity-DimensionalAssessment,DimensionalAssessment,Entity,AI Visibility Assessment,Score and analysis for one of the five AI visibility dimensions,Business concept representing DimensionalAssessment within the AI Visibility Assessment domain,JSON-LD entity of type DimensionalAssessment with 8 defined properties,schema:Thing,active,8,0,,,,,,,,
property-DimensionalAssessment-dimension,dimension,Property,AI Visibility Assessment,Which dimension is being assessed,Attribute capturing which dimension is being assessed,Field 'dimension' of type Text(required),,active,,,DimensionalAssessment,Text,Yes,"enum: ['Market Perception & Visibility', 'AI Maturity & Execution', 'Competitive Position', 'Organizational Readiness', 'Growth Trajectory']",,,,
property-DimensionalAssessment-score,score,Property,AI Visibility Assessment,Dimensional score (0-100),Attribute capturing dimensional score (0-100),Field 'score' of type Number(required),,active,,,DimensionalAssessment,Number,Yes,"minimum: 0, maximum: 100",,,,
property-DimensionalAssessment-weight,weight,Property,AI Visibility Assessment,Weight of this dimension in overall score,Attribute capturing weight of this dimension in overall score,Field 'weight' of type Number(required),,active,,,DimensionalAssessment,Number,Yes,"minimum: 0, maximum: 1",,,,
property-DimensionalAssessment-rating,rating,Property,AI Visibility Assessment,Qualitative rating for the dimension,Attribute capturing qualitative rating for the dimension,Field 'rating' of type Text(required),,active,,,DimensionalAssessment,Text,Yes,"enum: ['Critical Gap', 'Below Average', 'Average', 'Strong', 'Exceptional']",,,,
property-DimensionalAssessment-indicators,indicators,Property,AI Visibility Assessment,List of DimensionalIndicator entities contributing to score,Attribute capturing list of dimensionalindicator entities contributing to score,Field 'indicators' of type ItemList(required),,active,,,DimensionalAssessment,ItemList,Yes,,,,,
property-DimensionalAssessment-gaps,gaps,Property,AI Visibility Assessment,Identified gaps in this dimension,Attribute capturing identified gaps in this dimension,Field 'gaps' of type ItemList(required),,active,,,DimensionalAssessment,ItemList,Yes,,,,,
property-DimensionalAssessment-strengths,strengths,Property,AI Visibility Assessment,Areas of strength in this dimension,Attribute capturing areas of strength in this dimension,Field 'strengths' of type ItemList(required),,active,,,DimensionalAssessment,ItemList,Yes,,,,,
property-DimensionalAssessment-recommendations,recommendations,Property,AI Visibility Assessment,Recommended actions to improve this dimension,Attribute capturing recommended actions to improve this dimension,Field 'recommendations' of type ItemList(required),,active,,,DimensionalAssessment,ItemList,Yes,,,,,
entity-DimensionalIndicator,DimensionalIndicator,Entity,AI Visibility Assessment,Specific measurable indicator within a dimension,Business concept representing DimensionalIndicator within the AI Visibility Assessment domain,JSON-LD entity of type DimensionalIndicator with 7 defined properties,schema:Thing,active,7,0,,,,,,,,
property-DimensionalIndicator-name,name,Property,AI Visibility Assessment,Name of the indicator,Attribute capturing name of the indicator,Field 'name' of type Text(required),,active,,,DimensionalIndicator,Text,Yes,,LinkedIn AI Narrative Strength,,,
property-DimensionalIndicator-score,score,Property,AI Visibility Assessment,Indicator score (0-100),Attribute capturing indicator score (0-100),Field 'score' of type Number(required),,active,,,DimensionalIndicator,Number,Yes,"minimum: 0, maximum: 100",,,,
property-DimensionalIndicator-weight,weight,Property,AI Visibility Assessment,Weight of this indicator within dimension,Attribute capturing weight of this indicator within dimension,Field 'weight' of type Number(required),,active,,,DimensionalIndicator,Number,Yes,"minimum: 0, maximum: 1",,,,
property-DimensionalIndicator-measurement,measurement,Property,AI Visibility Assessment,How this indicator is measured,Attribute capturing how this indicator is measured,Field 'measurement' of type Text(required),,active,,,DimensionalIndicator,Text,Yes,,"AI-related posts per month, engagement rate, thought leadership content",,,
property-DimensionalIndicator-currentValue,currentValue,Property,AI Visibility Assessment,Current measured value,Attribute capturing current measured value,Field 'currentValue' of type Text(required),,active,,,DimensionalIndicator,Text,Yes,,"2 posts/month, 150 avg engagement",,,
property-DimensionalIndicator-targetValue,targetValue,Property,AI Visibility Assessment,Target value for this indicator,Attribute capturing target value for this indicator,Field 'targetValue' of type Text(optional),,active,,,DimensionalIndicator,Text,No,,"8 posts/month, 500 avg engagement",,,
property-DimensionalIndicator-evidence,evidence,Property,AI Visibility Assessment,Evidence supporting the score,Attribute capturing evidence supporting the score,Field 'evidence' of type ItemList(optional),,active,,,DimensionalIndicator,ItemList,No,,,,,
entity-CompetitivePosition,CompetitivePosition,Entity,AI Visibility Assessment,Analysis of organization's position relative to competitors,Business concept representing CompetitivePosition within the AI Visibility Assessment domain,JSON-LD entity of type CompetitivePosition with 5 defined properties,schema:Thing,active,5,0,,,,,,,,
property-CompetitivePosition-industrySegment,industrySegment,Property,AI Visibility Assessment,Industry segment for comparison,Attribute capturing industry segment for comparison,Field 'industrySegment' of type Text(required),,active,,,CompetitivePosition,Text,Yes,,UK Professional Services - Technology Consulting,,,
property-CompetitivePosition-percentileRank,percentileRank,Property,AI Visibility Assessment,Percentile ranking in industry (0-100),Attribute capturing percentile ranking in industry (0-100),Field 'percentileRank' of type Number(required),,active,,,CompetitivePosition,Number,Yes,"minimum: 0, maximum: 100",,,,
